Year,Country,R&D Spending (millions euros),Notes
2004,Italy,"1,005","Austria: 2002 data
Denmark, France, Greece, Netherlands: 2003 data
Belgium, Denmark, France, Greece, Ireland, Italy, Netherlands (preliminary), Norway, Sweden (LIF member companies), Switzerland: estimate
Germany: VFA member companies"
2004,Latvia,n.a.,"Austria: 2002 data
Denmark, France, Greece, Netherlands: 2003 data
Belgium, Denmark, France, Greece, Ireland, Italy, Netherlands (preliminary), Norway, Sweden (LIF member companies), Switzerland: estimate
Germany: VFA member companies"
2004,Lithuania,n.a.,"Austria: 2002 data
Denmark, France, Greece, Netherlands: 2003 data
Belgium, Denmark, France, Greece, Ireland, Italy, Netherlands (preliminary), Norway, Sweden (LIF member companies), Switzerland: estimate
Germany: VFA member companies"
2004,Malta,n.a.,"Austria: 2002 data
Denmark, France, Greece, Netherlands: 2003 data
Belgium, Denmark, France, Greece, Ireland, Italy, Netherlands (preliminary), Norway, Sweden (LIF member companies), Switzerland: estimate
Germany: VFA member companies"
2004,Netherlands,455,"Austria: 2002 data
Denmark, France, Greece, Netherlands: 2003 data
Belgium, Denmark, France, Greece, Ireland, Italy, Netherlands (preliminary), Norway, Sweden (LIF member companies), Switzerland: estimate
Germany: VFA member companies"
2004,Norway,99,"Austria: 2002 data
Denmark, France, Greece, Netherlands: 2003 data
Belgium, Denmark, France, Greece, Ireland, Italy, Netherlands (preliminary), Norway, Sweden (LIF member companies), Switzerland: estimate
Germany: VFA member companies"
2004,Poland,n.a.,"Austria: 2002 data
Denmark, France, Greece, Netherlands: 2003 data
Belgium, Denmark, France, Greece, Ireland, Italy, Netherlands (preliminary), Norway, Sweden (LIF member companies), Switzerland: estimate
Germany: VFA member companies"
2004,Portugal,n.a.,"Austria: 2002 data
Denmark, France, Greece, Netherlands: 2003 data
Belgium, Denmark, France, Greece, Ireland, Italy, Netherlands (preliminary), Norway, Sweden (LIF member companies), Switzerland: estimate
Germany: VFA member companies"
2004,Slovakia,n.a.,"Austria: 2002 data
Denmark, France, Greece, Netherlands: 2003 data
Belgium, Denmark, France, Greece, Ireland, Italy, Netherlands (preliminary), Norway, Sweden (LIF member companies), Switzerland: estimate
Germany: VFA member companies"
2004,Slovenia,92,"Austria: 2002 data
Denmark, France, Greece, Netherlands: 2003 data
Belgium, Denmark, France, Greece, Ireland, Italy, Netherlands (preliminary), Norway, Sweden (LIF member companies), Switzerland: estimate
Germany: VFA member companies"
2004,Spain,684,"Austria: 2002 data
Denmark, France, Greece, Netherlands: 2003 data
Belgium, Denmark, France, Greece, Ireland, Italy, Netherlands (preliminary), Norway, Sweden (LIF member companies), Switzerland: estimate
Germany: VFA member companies"
2004,Sweden,804,"Austria: 2002 data
Denmark, France, Greece, Netherlands: 2003 data
Belgium, Denmark, France, Greece, Ireland, Italy, Netherlands (preliminary), Norway, Sweden (LIF member companies), Switzerland: estimate
Germany: VFA member companies"
2004,Switzerland,"2,485","Austria: 2002 data
Denmark, France, Greece, Netherlands: 2003 data
Belgium, Denmark, France, Greece, Ireland, Italy, Netherlands (preliminary), Norway, Sweden (LIF member companies), Switzerland: estimate
Germany: VFA member companies"
2004,United Kingdom,"4,780","Austria: 2002 data
Denmark, France, Greece, Netherlands: 2003 data
Belgium, Denmark, France, Greece, Ireland, Italy, Netherlands (preliminary), Norway, Sweden (LIF member companies), Switzerland: estimate
Germany: VFA member companies"
2005,Austria,311,"Denmark, Greece: 2003 data
Austria: 2004 data
Belgium, Denmark, France, Greece, Ireland, Italy, Netherlands, Norway, Romania, Sweden (LIF member companies), Switzerland: estimate Germany: VFA member companies"
2005,Belgium,"1,551","Denmark, Greece: 2003 data
Austria: 2004 data
Belgium, Denmark, France, Greece, Ireland, Italy, Netherlands, Norway, Romania, Sweden (LIF member companies), Switzerland: estimate Germany: VFA member companies"
2005,Bulgaria,n.a.,"Denmark, Greece: 2003 data
Austria: 2004 data
Belgium, Denmark, France, Greece, Ireland, Italy, Netherlands, Norway, Romania, Sweden (LIF member companies), Switzerland: estimate Germany: VFA member companies"
2005,Cyprus,n.a.,"Denmark, Greece: 2003 data
Austria: 2004 data
Belgium, Denmark, France, Greece, Ireland, Italy, Netherlands, Norway, Romania, Sweden (LIF member companies), Switzerland: estimate Germany: VFA member companies"
2005,Czech Republic,n.a.,"Denmark, Greece: 2003 data
Austria: 2004 data
Belgium, Denmark, France, Greece, Ireland, Italy, Netherlands, Norway, Romania, Sweden (LIF member companies), Switzerland: estimate Germany: VFA member companies"
2005,Denmark,723,"Denmark, Greece: 2003 data
Austria: 2004 data
Belgium, Denmark, France, Greece, Ireland, Italy, Netherlands, Norway, Romania, Sweden (LIF member companies), Switzerland: estimate Germany: VFA member companies"
2005,Estonia,n.a.,"Denmark, Greece: 2003 data
Austria: 2004 data
Belgium, Denmark, France, Greece, Ireland, Italy, Netherlands, Norway, Romania, Sweden (LIF member companies), Switzerland: estimate Germany: VFA member companies"
2005,Finland,196,"Denmark, Greece: 2003 data
Austria: 2004 data
Belgium, Denmark, France, Greece, Ireland, Italy, Netherlands, Norway, Romania, Sweden (LIF member companies), Switzerland: estimate Germany: VFA member companies"
2005,France,"3,951","Denmark, Greece: 2003 data
Austria: 2004 data
Belgium, Denmark, France, Greece, Ireland, Italy, Netherlands, Norway, Romania, Sweden (LIF member companies), Switzerland: estimate Germany: VFA member companies"
2005,Germany,"4,065","Denmark, Greece: 2003 data
Austria: 2004 data
Belgium, Denmark, France, Greece, Ireland, Italy, Netherlands, Norway, Romania, Sweden (LIF member companies), Switzerland: estimate Germany: VFA member companies"
2005,Greece,36,"Denmark, Greece: 2003 data
Austria: 2004 data
Belgium, Denmark, France, Greece, Ireland, Italy, Netherlands, Norway, Romania, Sweden (LIF member companies), Switzerland: estimate Germany: VFA member companies"
2005,Hungary,n.a.,"Denmark, Greece: 2003 data
Austria: 2004 data
Belgium, Denmark, France, Greece, Ireland, Italy, Netherlands, Norway, Romania, Sweden (LIF member companies), Switzerland: estimate Germany: VFA member companies"
2005,Ireland,150,"Denmark, Greece: 2003 data
Austria: 2004 data
Belgium, Denmark, France, Greece, Ireland, Italy, Netherlands, Norway, Romania, Sweden (LIF member companies), Switzerland: estimate Germany: VFA member companies"
2005,Italy,"1,070","Denmark, Greece: 2003 data
Austria: 2004 data
Belgium, Denmark, France, Greece, Ireland, Italy, Netherlands, Norway, Romania, Sweden (LIF member companies), Switzerland: estimate Germany: VFA member companies"
2005,Latvia,n.a.,"Denmark, Greece: 2003 data
Austria: 2004 data
Belgium, Denmark, France, Greece, Ireland, Italy, Netherlands, Norway, Romania, Sweden (LIF member companies), Switzerland: estimate Germany: VFA member companies"
2005,Lithuania,n.a.,"Denmark, Greece: 2003 data
Austria: 2004 data
Belgium, Denmark, France, Greece, Ireland, Italy, Netherlands, Norway, Romania, Sweden (LIF member companies), Switzerland: estimate Germany: VFA member companies"
2005,Malta,n.a.,"Denmark, Greece: 2003 data
Austria: 2004 data
Belgium, Denmark, France, Greece, Ireland, Italy, Netherlands, Norway, Romania, Sweden (LIF member companies), Switzerland: estimate Germany: VFA member companies"
2005,Netherlands,505,"Denmark, Greece: 2003 data
Austria: 2004 data
Belgium, Denmark, France, Greece, Ireland, Italy, Netherlands, Norway, Romania, Sweden (LIF member companies), Switzerland: estimate Germany: VFA member companies"
2005,Norway,115,"Denmark, Greece: 2003 data
Austria: 2004 data
Belgium, Denmark, France, Greece, Ireland, Italy, Netherlands, Norway, Romania, Sweden (LIF member companies), Switzerland: estimate Germany: VFA member companies"
2005,Poland,n.a.,"Denmark, Greece: 2003 data
Austria: 2004 data
Belgium, Denmark, France, Greece, Ireland, Italy, Netherlands, Norway, Romania, Sweden (LIF member companies), Switzerland: estimate Germany: VFA member companies"
2005,Portugal,n.a.,"Denmark, Greece: 2003 data
Austria: 2004 data
Belgium, Denmark, France, Greece, Ireland, Italy, Netherlands, Norway, Romania, Sweden (LIF member companies), Switzerland: estimate Germany: VFA member companies"
2005,Romania,20,"Denmark, Greece: 2003 data
Austria: 2004 data
Belgium, Denmark, France, Greece, Ireland, Italy, Netherlands, Norway, Romania, Sweden (LIF member companies), Switzerland: estimate Germany: VFA member companies"
2005,Slovakia,n.a.,"Denmark, Greece: 2003 data
Austria: 2004 data
Belgium, Denmark, France, Greece, Ireland, Italy, Netherlands, Norway, Romania, Sweden (LIF member companies), Switzerland: estimate Germany: VFA member companies"
2005,Slovenia,92,"Denmark, Greece: 2003 data
Austria: 2004 data
Belgium, Denmark, France, Greece, Ireland, Italy, Netherlands, Norway, Romania, Sweden (LIF member companies), Switzerland: estimate Germany: VFA member companies"
2005,Spain,764,"Denmark, Greece: 2003 data
Austria: 2004 data
Belgium, Denmark, France, Greece, Ireland, Italy, Netherlands, Norway, Romania, Sweden (LIF member companies), Switzerland: estimate Germany: VFA member companies"
2005,Sweden,839,"Denmark, Greece: 2003 data
Austria: 2004 data
Belgium, Denmark, France, Greece, Ireland, Italy, Netherlands, Norway, Romania, Sweden (LIF member companies), Switzerland: estimate Germany: VFA member companies"
2005,Switzerland,"2,506","Denmark, Greece: 2003 data
Austria: 2004 data
Belgium, Denmark, France, Greece, Ireland, Italy, Netherlands, Norway, Romania, Sweden (LIF member companies), Switzerland: estimate Germany: VFA member companies"
2005,United Kingdom,"4,838","Denmark, Greece: 2003 data
Austria: 2004 data
Belgium, Denmark, France, Greece, Ireland, Italy, Netherlands, Norway, Romania, Sweden (LIF member companies), Switzerland: estimate Germany: VFA member companies"
2006,Austria,311,"Greece: 2003 data
Austria, France, Netherlands: 2004 data
Ireland: 2005 data
Belgium, Denmark, France, Greece, Ireland, Italy, Netherlands, Norway, Romania, Sweden
(LIF members), Switzerland (Interpharma members): estimate "
2006,Belgium,"1,559","Greece: 2003 data
Austria, France, Netherlands: 2004 data
Ireland: 2005 data
Belgium, Denmark, France, Greece, Ireland, Italy, Netherlands, Norway, Romania, Sweden
(LIF members), Switzerland (Interpharma members): estimate "
2006,Bulgaria,n.a.,"Greece: 2003 data
Austria, France, Netherlands: 2004 data
Ireland: 2005 data
Belgium, Denmark, France, Greece, Ireland, Italy, Netherlands, Norway, Romania, Sweden
(LIF members), Switzerland (Interpharma members): estimate "
2006,Cyprus,n.a.,"Greece: 2003 data
Austria, France, Netherlands: 2004 data
Ireland: 2005 data
Belgium, Denmark, France, Greece, Ireland, Italy, Netherlands, Norway, Romania, Sweden
(LIF members), Switzerland (Interpharma members): estimate "
2006,Czech Republic,n.a.,"Greece: 2003 data
Austria, France, Netherlands: 2004 data
Ireland: 2005 data
Belgium, Denmark, France, Greece, Ireland, Italy, Netherlands, Norway, Romania, Sweden
(LIF members), Switzerland (Interpharma members): estimate "
2006,Denmark,958,"Greece: 2003 data
Austria, France, Netherlands: 2004 data
Ireland: 2005 data
Belgium, Denmark, France, Greece, Ireland, Italy, Netherlands, Norway, Romania, Sweden
(LIF members), Switzerland (Interpharma members): estimate "
2006,Estonia,n.a.,"Greece: 2003 data
Austria, France, Netherlands: 2004 data
Ireland: 2005 data
Belgium, Denmark, France, Greece, Ireland, Italy, Netherlands, Norway, Romania, Sweden
(LIF members), Switzerland (Interpharma members): estimate "
2006,Finland,180,"Greece: 2003 data
Austria, France, Netherlands: 2004 data
Ireland: 2005 data
Belgium, Denmark, France, Greece, Ireland, Italy, Netherlands, Norway, Romania, Sweden
(LIF members), Switzerland (Interpharma members): estimate "
2006,France,"3,997","Greece: 2003 data
Austria, France, Netherlands: 2004 data
Ireland: 2005 data
Belgium, Denmark, France, Greece, Ireland, Italy, Netherlands, Norway, Romania, Sweden
(LIF members), Switzerland (Interpharma members): estimate "
2006,Germany,"5,393","Greece: 2003 data
Austria, France, Netherlands: 2004 data
Ireland: 2005 data
Belgium, Denmark, France, Greece, Ireland, Italy, Netherlands, Norway, Romania, Sweden
(LIF members), Switzerland (Interpharma members): estimate "
2006,Greece,36,"Greece: 2003 data
Austria, France, Netherlands: 2004 data
Ireland: 2005 data
Belgium, Denmark, France, Greece, Ireland, Italy, Netherlands, Norway, Romania, Sweden
(LIF members), Switzerland (Interpharma members): estimate "
2006,Hungary,n.a.,"Greece: 2003 data
Austria, France, Netherlands: 2004 data
Ireland: 2005 data
Belgium, Denmark, France, Greece, Ireland, Italy, Netherlands, Norway, Romania, Sweden
(LIF members), Switzerland (Interpharma members): estimate "
2006,Iceland,n.a.,"Greece: 2003 data
Austria, France, Netherlands: 2004 data
Ireland: 2005 data
Belgium, Denmark, France, Greece, Ireland, Italy, Netherlands, Norway, Romania, Sweden
(LIF members), Switzerland (Interpharma members): estimate "
2006,Ireland,150,"Greece: 2003 data
Austria, France, Netherlands: 2004 data
Ireland: 2005 data
Belgium, Denmark, France, Greece, Ireland, Italy, Netherlands, Norway, Romania, Sweden
(LIF members), Switzerland (Interpharma members): estimate "
2006,Italy,"1,115","Greece: 2003 data
Austria, France, Netherlands: 2004 data
Ireland: 2005 data
Belgium, Denmark, France, Greece, Ireland, Italy, Netherlands, Norway, Romania, Sweden
(LIF members), Switzerland (Interpharma members): estimate "
2006,Latvia,n.a.,"Greece: 2003 data
Austria, France, Netherlands: 2004 data
Ireland: 2005 data
Belgium, Denmark, France, Greece, Ireland, Italy, Netherlands, Norway, Romania, Sweden
(LIF members), Switzerland (Interpharma members): estimate "
2006,Lithuania,n.a.,"Greece: 2003 data
Austria, France, Netherlands: 2004 data
Ireland: 2005 data
Belgium, Denmark, France, Greece, Ireland, Italy, Netherlands, Norway, Romania, Sweden
(LIF members), Switzerland (Interpharma members): estimate "
2006,Malta,n.a.,"Greece: 2003 data
Austria, France, Netherlands: 2004 data
Ireland: 2005 data
Belgium, Denmark, France, Greece, Ireland, Italy, Netherlands, Norway, Romania, Sweden
(LIF members), Switzerland (Interpharma members): estimate "
2006,Netherlands,505,"Greece: 2003 data
Austria, France, Netherlands: 2004 data
Ireland: 2005 data
Belgium, Denmark, France, Greece, Ireland, Italy, Netherlands, Norway, Romania, Sweden
(LIF members), Switzerland (Interpharma members): estimate "
2006,Norway,122,"Greece: 2003 data
Austria, France, Netherlands: 2004 data
Ireland: 2005 data
Belgium, Denmark, France, Greece, Ireland, Italy, Netherlands, Norway, Romania, Sweden
(LIF members), Switzerland (Interpharma members): estimate "
2006,Poland,n.a.,"Greece: 2003 data
Austria, France, Netherlands: 2004 data
Ireland: 2005 data
Belgium, Denmark, France, Greece, Ireland, Italy, Netherlands, Norway, Romania, Sweden
(LIF members), Switzerland (Interpharma members): estimate "
2006,Portugal,n.a.,"Greece: 2003 data
Austria, France, Netherlands: 2004 data
Ireland: 2005 data
Belgium, Denmark, France, Greece, Ireland, Italy, Netherlands, Norway, Romania, Sweden
(LIF members), Switzerland (Interpharma members): estimate "
2006,Romania,25,"Greece: 2003 data
Austria, France, Netherlands: 2004 data
Ireland: 2005 data
Belgium, Denmark, France, Greece, Ireland, Italy, Netherlands, Norway, Romania, Sweden
(LIF members), Switzerland (Interpharma members): estimate "
2006,Slovakia,n.a.,"Greece: 2003 data
Austria, France, Netherlands: 2004 data
Ireland: 2005 data
Belgium, Denmark, France, Greece, Ireland, Italy, Netherlands, Norway, Romania, Sweden
(LIF members), Switzerland (Interpharma members): estimate "
2006,Slovenia,100,"Greece: 2003 data
Austria, France, Netherlands: 2004 data
Ireland: 2005 data
Belgium, Denmark, France, Greece, Ireland, Italy, Netherlands, Norway, Romania, Sweden
(LIF members), Switzerland (Interpharma members): estimate "
2006,Spain,850,"Greece: 2003 data
Austria, France, Netherlands: 2004 data
Ireland: 2005 data
Belgium, Denmark, France, Greece, Ireland, Italy, Netherlands, Norway, Romania, Sweden
(LIF members), Switzerland (Interpharma members): estimate "
2006,Sweden,859,"Greece: 2003 data
Austria, France, Netherlands: 2004 data
Ireland: 2005 data
Belgium, Denmark, France, Greece, Ireland, Italy, Netherlands, Norway, Romania, Sweden
(LIF members), Switzerland (Interpharma members): estimate "
2006,Switzerland,"2,806","Greece: 2003 data
Austria, France, Netherlands: 2004 data
Ireland: 2005 data
Belgium, Denmark, France, Greece, Ireland, Italy, Netherlands, Norway, Romania, Sweden
(LIF members), Switzerland (Interpharma members): estimate "
2006,United Kingdom,"5,793","Greece: 2003 data
Austria, France, Netherlands: 2004 data
Ireland: 2005 data
Belgium, Denmark, France, Greece, Ireland, Italy, Netherlands, Norway, Romania, Sweden
(LIF members), Switzerland (Interpharma members): estimate "
2007,Austria,433,"Netherlands: 2004 data
 France: 2005 data
 Austria: 2006 data
 Belgium, Denmark, France, Greece, Ireland, Italy, Netherlands, Norway,
Romania, Sweden (LIF members), Switzerland (Interpharma members):
estimate"
2007,Belgium,"1,884","Netherlands: 2004 data
 France: 2005 data
 Austria: 2006 data
 Belgium, Denmark, France, Greece, Ireland, Italy, Netherlands, Norway,
Romania, Sweden (LIF members), Switzerland (Interpharma members):
estimate"
2007,Bulgaria,n.a.,"Netherlands: 2004 data
 France: 2005 data
 Austria: 2006 data
 Belgium, Denmark, France, Greece, Ireland, Italy, Netherlands, Norway,
Romania, Sweden (LIF members), Switzerland (Interpharma members):
estimate"
2007,Croatia,n.a.,"Netherlands: 2004 data
 France: 2005 data
 Austria: 2006 data
 Belgium, Denmark, France, Greece, Ireland, Italy, Netherlands, Norway,
Romania, Sweden (LIF members), Switzerland (Interpharma members):
estimate"
2007,Cyprus,14,"Netherlands: 2004 data
 France: 2005 data
 Austria: 2006 data
 Belgium, Denmark, France, Greece, Ireland, Italy, Netherlands, Norway,
Romania, Sweden (LIF members), Switzerland (Interpharma members):
estimate"
2007,Czech Republic,n.a.,"Netherlands: 2004 data
 France: 2005 data
 Austria: 2006 data
 Belgium, Denmark, France, Greece, Ireland, Italy, Netherlands, Norway,
Romania, Sweden (LIF members), Switzerland (Interpharma members):
estimate"
2007,Denmark,"1,052","Netherlands: 2004 data
 France: 2005 data
 Austria: 2006 data
 Belgium, Denmark, France, Greece, Ireland, Italy, Netherlands, Norway,
Romania, Sweden (LIF members), Switzerland (Interpharma members):
estimate"
2007,Estonia,n.a.,"Netherlands: 2004 data
 France: 2005 data
 Austria: 2006 data
 Belgium, Denmark, France, Greece, Ireland, Italy, Netherlands, Norway,
Romania, Sweden (LIF members), Switzerland (Interpharma members):
estimate"
2007,Finland,239,"Netherlands: 2004 data
 France: 2005 data
 Austria: 2006 data
 Belgium, Denmark, France, Greece, Ireland, Italy, Netherlands, Norway,
Romania, Sweden (LIF members), Switzerland (Interpharma members):
estimate"
2007,France,"4,167","Netherlands: 2004 data
 France: 2005 data
 Austria: 2006 data
 Belgium, Denmark, France, Greece, Ireland, Italy, Netherlands, Norway,
Romania, Sweden (LIF members), Switzerland (Interpharma members):
estimate"
2007,Germany,"4,662","Netherlands: 2004 data
 France: 2005 data
 Austria: 2006 data
 Belgium, Denmark, France, Greece, Ireland, Italy, Netherlands, Norway,
Romania, Sweden (LIF members), Switzerland (Interpharma members):
estimate"
2007,Greece,84,"Netherlands: 2004 data
 France: 2005 data
 Austria: 2006 data
 Belgium, Denmark, France, Greece, Ireland, Italy, Netherlands, Norway,
Romania, Sweden (LIF members), Switzerland (Interpharma members):
estimate"
2007,Hungary,n.a.,"Netherlands: 2004 data
 France: 2005 data
 Austria: 2006 data
 Belgium, Denmark, France, Greece, Ireland, Italy, Netherlands, Norway,
Romania, Sweden (LIF members), Switzerland (Interpharma members):
estimate"
2007,lceland,n.a.,"Netherlands: 2004 data
 France: 2005 data
 Austria: 2006 data
 Belgium, Denmark, France, Greece, Ireland, Italy, Netherlands, Norway,
Romania, Sweden (LIF members), Switzerland (Interpharma members):
estimate"
2007,Ireland,200,"Netherlands: 2004 data
 France: 2005 data
 Austria: 2006 data
 Belgium, Denmark, France, Greece, Ireland, Italy, Netherlands, Norway,
Romania, Sweden (LIF members), Switzerland (Interpharma members):
estimate"
2007,Italy,"1,180","Netherlands: 2004 data
 France: 2005 data
 Austria: 2006 data
 Belgium, Denmark, France, Greece, Ireland, Italy, Netherlands, Norway,
Romania, Sweden (LIF members), Switzerland (Interpharma members):
estimate"
2007,Latvia,n.a.,"Netherlands: 2004 data
 France: 2005 data
 Austria: 2006 data
 Belgium, Denmark, France, Greece, Ireland, Italy, Netherlands, Norway,
Romania, Sweden (LIF members), Switzerland (Interpharma members):
estimate"
2007,Lithuania,n.a.,"Netherlands: 2004 data
 France: 2005 data
 Austria: 2006 data
 Belgium, Denmark, France, Greece, Ireland, Italy, Netherlands, Norway,
Romania, Sweden (LIF members), Switzerland (Interpharma members):
estimate"
2007,Malta,n.a.,"Netherlands: 2004 data
 France: 2005 data
 Austria: 2006 data
 Belgium, Denmark, France, Greece, Ireland, Italy, Netherlands, Norway,
Romania, Sweden (LIF members), Switzerland (Interpharma members):
estimate"
2007,Netherlands,505,"Netherlands: 2004 data
 France: 2005 data
 Austria: 2006 data
 Belgium, Denmark, France, Greece, Ireland, Italy, Netherlands, Norway,
Romania, Sweden (LIF members), Switzerland (Interpharma members):
estimate"
2007,Norway,104,"Netherlands: 2004 data
 France: 2005 data
 Austria: 2006 data
 Belgium, Denmark, France, Greece, Ireland, Italy, Netherlands, Norway,
Romania, Sweden (LIF members), Switzerland (Interpharma members):
estimate"
2007,Poland,n.a.,"Netherlands: 2004 data
 France: 2005 data
 Austria: 2006 data
 Belgium, Denmark, France, Greece, Ireland, Italy, Netherlands, Norway,
Romania, Sweden (LIF members), Switzerland (Interpharma members):
estimate"
2007,Portugal,n.a.,"Netherlands: 2004 data
 France: 2005 data
 Austria: 2006 data
 Belgium, Denmark, France, Greece, Ireland, Italy, Netherlands, Norway,
Romania, Sweden (LIF members), Switzerland (Interpharma members):
estimate"
2007,Romania,30,"Netherlands: 2004 data
 France: 2005 data
 Austria: 2006 data
 Belgium, Denmark, France, Greece, Ireland, Italy, Netherlands, Norway,
Romania, Sweden (LIF members), Switzerland (Interpharma members):
estimate"
2007,Slovakia,n.a.,"Netherlands: 2004 data
 France: 2005 data
 Austria: 2006 data
 Belgium, Denmark, France, Greece, Ireland, Italy, Netherlands, Norway,
Romania, Sweden (LIF members), Switzerland (Interpharma members):
estimate"
2007,Slovenia,100,"Netherlands: 2004 data
 France: 2005 data
 Austria: 2006 data
 Belgium, Denmark, France, Greece, Ireland, Italy, Netherlands, Norway,
Romania, Sweden (LIF members), Switzerland (Interpharma members):
estimate"
2007,Spain,885,"Netherlands: 2004 data
 France: 2005 data
 Austria: 2006 data
 Belgium, Denmark, France, Greece, Ireland, Italy, Netherlands, Norway,
Romania, Sweden (LIF members), Switzerland (Interpharma members):
estimate"
2007,Sweden,875,"Netherlands: 2004 data
 France: 2005 data
 Austria: 2006 data
 Belgium, Denmark, France, Greece, Ireland, Italy, Netherlands, Norway,
Romania, Sweden (LIF members), Switzerland (Interpharma members):
estimate"
2007,Switzerland,"3,071","Netherlands: 2004 data
 France: 2005 data
 Austria: 2006 data
 Belgium, Denmark, France, Greece, Ireland, Italy, Netherlands, Norway,
Romania, Sweden (LIF members), Switzerland (Interpharma members):
estimate"
2007,United Kingdom,"6,525","Netherlands: 2004 data
 France: 2005 data
 Austria: 2006 data
 Belgium, Denmark, France, Greece, Ireland, Italy, Netherlands, Norway,
Romania, Sweden (LIF members), Switzerland (Interpharma members):
estimate"
2008,Austria,433,"Austria, Cyprus, Denmark, France, Netherlands, Romania, Slovenia: 2007 data
 Belgium, Denmark, France, Greece, Ireland, Italy, Netherlands, Norway, Romania, Sweden (LIF
members), Switzerland (Interpharma members): estimate"
2008,Belgium,"1,884","Austria, Cyprus, Denmark, France, Netherlands, Romania, Slovenia: 2007 data
 Belgium, Denmark, France, Greece, Ireland, Italy, Netherlands, Norway, Romania, Sweden (LIF
members), Switzerland (Interpharma members): estimate"
2008,Bulgaria,n.a.,"Austria, Cyprus, Denmark, France, Netherlands, Romania, Slovenia: 2007 data
 Belgium, Denmark, France, Greece, Ireland, Italy, Netherlands, Norway, Romania, Sweden (LIF
members), Switzerland (Interpharma members): estimate"
2008,Croatia,n.a.,"Austria, Cyprus, Denmark, France, Netherlands, Romania, Slovenia: 2007 data
 Belgium, Denmark, France, Greece, Ireland, Italy, Netherlands, Norway, Romania, Sweden (LIF
members), Switzerland (Interpharma members): estimate"
2008,Cyprus,14,"Austria, Cyprus, Denmark, France, Netherlands, Romania, Slovenia: 2007 data
 Belgium, Denmark, France, Greece, Ireland, Italy, Netherlands, Norway, Romania, Sweden (LIF
members), Switzerland (Interpharma members): estimate"
2008,Czech Republic,n.a.,"Austria, Cyprus, Denmark, France, Netherlands, Romania, Slovenia: 2007 data
 Belgium, Denmark, France, Greece, Ireland, Italy, Netherlands, Norway, Romania, Sweden (LIF
members), Switzerland (Interpharma members): estimate"
2008,Denmark,"1,052","Austria, Cyprus, Denmark, France, Netherlands, Romania, Slovenia: 2007 data
 Belgium, Denmark, France, Greece, Ireland, Italy, Netherlands, Norway, Romania, Sweden (LIF
members), Switzerland (Interpharma members): estimate"
